Step;A;B;C;D;E;F;G;H;I
Find Contour (Binary->C0) NBC;36.3837;3.27171;3.01451;27.3709;5.08899;3.10598;7.64496;3.62702;2.56925
Find Contour (Binary->C0) BT;7.79227;2.64411;2.59793;23.4701;3.71637;4.31317;5.39932;3.67833;2.11493
Find Contour (Binary->C0) BTA;7.88193;3.00727;2.74434;25.3716;3.48634;5.13669;5.26649;4.14594;2.62721
First Clean (C0->C1) NBC;0.920414;0.062186;0.071544;0.62337;0.350778;0.055545;0.663519;0.258102;0.159087
First Clean (C0->C1) BT;0.456433;0.034716;0.041357;3.34567;0.083318;0.287384;0.329344;0.273799;0.087543
First Clean (C0->C1) BTA;0.557562;0.066714;0.068223;3.78882;0.124976;0.285875;0.656576;0.358626;0.153956
Approx after First Clean (C1->C2) NBC;1.7723;0.186256;0.184445;0.602239;0.170558;0.081205;0.432887;0.824116;0.346249
Approx after First Clean (C1->C2) BT;0.215538;0.086034;0.0966;0.319081;0.000604;0.103241;0.076374;0.213727;0.173577
Approx after First Clean (C1->C2) BTA;0.58141;0.156069;0.171163;0.267158;0.245122;0.260819;0.26897;0.356211;0.373418
Convex Hull after Approx (C2->C3) NBC;0.601634;0.019319;0.010867;0.020527;0.009358;0.007849;0.027169;0.024451;0.023848
Convex Hull after Approx (C2->C3) BT;0.029584;0.010565;0.004528;0.004226;0.000302;0.006037;0.004226;0.013283;0.020226
Convex Hull after Approx (C2->C3) BTA;0.049809;0.012678;0.008755;0.005132;0.005132;0.009358;0.009962;0.019622;0.020527
Extract 4 Corners after Convex Hull (C3->C4) NBC;0.040753;0.009056;0.012679;0.010867;0.005736;0.004226;0.011773;0.014189;0.012679
Extract 4 Corners after Convex Hull (C3->C4) BT;0.020528;0.00483;0.005736;0.005736;0.000302;0.003623;0.001811;0.006339;0.011471
Extract 4 Corners after Convex Hull (C3->C4) BTA;0.039847;0.006038;0.006339;0.006943;0.004226;0.008151;0.015093;0.011169;0.009056
Last Clean (C4->C5) NBC;0.029281;0.006037;0.006943;0.008754;0.007547;0.001509;0.015396;0.02415;0.014489
Last Clean (C4->C5) BT;0.020226;0.003622;0.003623;0.002415;0.000302;0.003925;0.002717;0.01449;0.006943
Last Clean (C4->C5) BTA;0.029886;0.008151;0.00483;0.003924;0.006339;0.005434;0.008755;0.027772;0.015698
Convex Hull after Approx (C1->C6) NBC;1.82936;0.434095;0.413568;1.369;0.421416;0.179313;0.780646;0.821399;0.847059
Convex Hull after Approx (C1->C6) BT;0.758005;0.233952;0.227311;0.894453;0.000301;0.235159;0.150032;0.434699;0.415983
Convex Hull after Approx (C1->C6) BTA;0.95694;0.405719;0.405115;0.676198;0.326326;0.463075;0.503223;0.753176;0.892943
Approx after Hull (C6->C7) NBC;0.083619;0.019924;0.028376;0.02566;0.01449;0.011169;0.031999;0.046186;0.040452
Approx after Hull (C6->C7) BT;0.031999;0.014792;0.015396;0.009056;0.000302;0.009056;0.010263;0.022641;0.020829
Approx after Hull (C6->C7) BTA;0.038338;0.02264;0.018113;0.011773;0.019018;0.017509;0.02415;0.055243;0.039847
Extract 4 Corners after Approx (C7->C8) NBC;0.013282;0.005131;0.012075;0.007547;0.008453;0.002415;0.011773;0.018414;0.01932
Extract 4 Corners after Approx (C7->C8) BT;0.003925;0.004226;0.003924;0.004226;0.000604;0.004226;0.003321;0.007547;0.00815
Extract 4 Corners after Approx (C7->C8) BTA;0.009056;0.00634;0.005434;0.00634;0.006037;0.014188;0.00483;0.012377;0.011774
Last Clean (C8->C9) NBC;0.01449;0.007849;0.007245;0.006943;0.006943;0.002113;0.017207;0.023547;0.013584
Last Clean (C8->C9) BT;0.05313;0.007849;0.003925;0.004529;0.000604;0.004528;0.003321;0.012075;0.007547
Last Clean (C8->C9) BTA;0.013886;0.006339;0.00483;0.005434;0.004226;0.004528;0.006037;0.02898;0.015396
Extract 4 Corners after First Clean (C1->C10) NBC;0.369494;0.205576;0.244216;0.71363;0.207387;0.089958;0.445566;0.50594;0.434396
Extract 4 Corners after First Clean (C1->C10) BT;0.255385;0.135239;0.123165;0.442245;0.000603;0.126787;0.086638;0.252064;0.232745
Extract 4 Corners after First Clean (C1->C10) BTA;0.238783;0.250857;0.216142;0.350174;0.180219;0.259612;0.390625;0.442245;0.58473
Last Clean (C10->C11) NBC;0.016603;0.00483;0.00634;0.006339;0.006943;0.003018;0.01449;0.022943;0.015094
Last Clean (C10->C11) BT;0.007245;0.006641;0.002717;0.002717;0.000302;0.002415;0.002114;0.01298;0.007245
Last Clean (C10->C11) BTA;0.008151;0.006943;0.008151;0.004227;0.006339;0.008151;0.006038;0.030188;0.016301
Rotated Rectangle after First Clean (C1->C12) NBC;1.00494;0.461867;0.436812;1.39164;0.47364;0.204067;0.81838;0.92947;0.897773
Rotated Rectangle after First Clean (C1->C12) BT;0.13373;0.236971;0.238179;0.855511;0.000302;0.253574;0.198331;0.496583;0.447377
Rotated Rectangle after First Clean (C1->C12) BTA;0.345948;0.438623;0.420812;0.641784;0.361947;0.495074;0.547599;0.994071;0.927961
Last Clean (C12->C13) NBC;0.009358;0.007848;0.007245;0.004528;0.005434;0.003925;0.010868;0.027772;0.021433
Last Clean (C12->C13) BT;0;0;0;0;0;0;0;0;0
Last Clean (C12->C13) BTA;0;0;0;0;0;0;0;0;0
